ingestion_year;ingestion_month;ingestion_day;id_mascara;ctrl_terc;estado_cli;f_vinc;genero_cli;f_nacim_cli;estado_civil;ocup;ingresos
2021;11;30;14530704;CLIENTE;INACTIVO;20191202;F;20000306;NO INFORMA;NULL;788000
2021;11;30;14306926;CLIENTE;ACTIVO;20191125;F;19970203;SOLTERO;AMA DE CASA;677250
2021;11;30;12353225;CLIENTE;ACTIVO;20191126;F;19970426;NO INFORMA;NULL;1067383
2021;11;30;14779473;CLIENTE;ACTIVO;20191126;M;19991003;SOLTERO;EMPLEADO;1093000
2021;11;30;15944178;CLIENTE;ACTIVO;20191128;M;19940806;SOLTERO;EMPLEADO;1080000
2021;11;30;15893874;CLIENTE;ACTIVO;20191223;M;19900122;SOLTERO;EMPLEADO;822000
2021;11;30;16280429;EXCLIENTE;INACTIVO;20191230;F;20030514;SOLTERO;ESTUDIANTE;1000000
2021;11;30;12436470;CLIENTE;ACTIVO;20191212;F;19940602;NULL;NULL;652500
2021;11;30;11871045;CLIENTE;ACTIVO;20210616;F;19970114;SOLTERO;EMPLEADO;1408000
2021;11;30;10576630;CLIENTE;INACTIVO;20191224;M;19961028;SOLTERO;EMPLEADO;621750
2021;11;30;6004603;CLIENTE;ACTIVO;20191101;F;19811127;UNION LIBRE;EMPLEADO;1106000
2021;11;30;9992179;CLIENTE;ACTIVO;20191018;M;19960309;UNION LIBRE;EMPLEADO;1034264
2021;11;30;10288876;CLIENTE;ACTIVO;20191021;M;20000517;SOLTERO;EMPLEADO;900000
2021;11;30;7219724;EXCLIENTE;INACTIVO;20191017;F;19731106;SOLTERO;AMA DE CASA;1750000
2021;11;30;15281066;CLIENTE;INACTIVO;20191022;M;20171017;SOLTERO;ESTUDIANTE;100000
2021;11;30;7611214;CLIENTE;INACTIVO;20191023;F;19731104;NULL;EMPLEADO;1117000
2021;11;30;14822714;EXCLIENTE;INACTIVO;20191120;M;19990401;CASADO;EMPLEADO;1210000
2021;11;30;11773734;CLIENTE;INACTIVO;20191109;F;20140109;SOLTERO;ESTUDIANTE;100000
2021;11;30;7961611;CLIENTE;ACTIVO;20191106;M;19620828;CASADO;PENSIONADO;1199000
2021;11;30;10688525;CLIENTE;ACTIVO;20200128;M;20010904;SOLTERO;EMPLEADO;1032721
2021;11;30;12974701;EXCLIENTE;INACTIVO;20191113;F;19000101;NO INFORMA;NULL;938000
2021;11;30;10497971;CLIENTE;ACTIVO;20200214;M;19990215;SOLTERO;OTRO;643500
2021;11;30;16263894;EXCLIENTE;INACTIVO;20200313;F;20000728;NULL;EMPLEADO;1008255
2021;11;30;13963119;CLIENTE;ACTIVO;20200212;M;19900727;SOLTERO;OTRO;903000
2021;11;30;5966614;EXCLIENTE;INACTIVO;20200227;F;19790101;CASADO;EMPLEADO;1164713
2021;11;30;12491169;CLIENTE;ACTIVO;20200227;M;19971111;SOLTERO;EMPLEADO;681750
2021;11;30;13405627;CLIENTE;INACTIVO;20200303;M;19990520;SOLTERO;ESTUDIANTE;681750
2021;11;30;10757255;CLIENTE;INACTIVO;20200828;F;20000509;SOLTERO;ESTUDIANTE;875894
2021;11;30;16153259;EXCLIENTE;INACTIVO;20200115;M;19970603;NULL;OTRO;921000
2021;11;30;13133403;CLIENTE;ACTIVO;20200116;M;19980523;SOLTERO;EMPLEADO;1144000
2021;11;30;8805169;CLIENTE;ACTIVO;20200122;M;19770113;SOLTERO;PENSIONADO;4744320
2021;11;30;11880658;CLIENTE;ACTIVO;20200113;M;20120613;SOLTERO;ESTUDIANTE;0
2021;11;30;10566918;CLIENTE;ACTIVO;20200203;M;19890410;UNION LIBRE;EMPLEADO;1600000
2021;11;30;12159250;CLIENTE;INACTIVO;20200207;F;19990423;SOLTERO;EMPLEADO;705000
2021;11;30;7204360;CLIENTE;ACTIVO;20200207;F;19690716;SOLTERO;RENTISTA DE CAPITAL;2950452
2021;11;30;14332077;CLIENTE;ACTIVO;20200204;F;19950621;SOLTERO;OTRO;1144000
2021;11;30;2134691;CLIENTE;INACTIVO;20200129;M;19700623;CASADO;OTRO;1150000
2021;11;30;13576872;EXCLIENTE;INACTIVO;20200127;F;19000101;NO INFORMA;NULL;798000
2021;11;30;4769907;EXCLIENTE;INACTIVO;20190712;F;19840619;SOLTERO;AMA DE CASA;1000000
